nb_trawlers,fish_stock,capture,income,price,fleet_maintenance_cost,capital
26,7207.432697668087,105.57642366344116,400.0,5.0,520.0,-32774.85001223385
26,7120.197282663003,133.491479423903,527.8821183172058,5.0,520.0,-32766.967893916648
26,7013.878305786046,138.13374745581194,667.4573971195149,5.0,520.0,-32619.510496797135
26,6903.999234262712,109.65139238316246,690.6687372790598,5.0,520.0,-32448.841759518076
26,6827.87263259815,91.35843211521083,548.2569619158122,5.0,520.0,-32420.584797602263
26,6773.30120039639,76.02311616425592,456.79216057605413,5.0,520.0,-32483.79263702621
26,6720.959893045593,100.0,380.11558082127965,5.0,520.0,-32623.67705620493
26,6651.984524020484,70.98589531225349,500.0,5.0,520.0,-32643.67705620493
26,6622.536374194299,60.0,354.9294765612675,5.0,520.0,-32808.74757964366
26,6616.7724798302315,77.96596146992518,300.0,5.0,520.0,-33028.74757964366
26,6592.035868213115,40.0,389.82980734962587,5.0,520.0,-33158.91777229404
26,6605.447488425593,40.0,200.0,5.0,520.0,-33478.91777229404
26,6620.3479430983925,51.3620680526608,200.0,5.0,520.0,-33798.91777229404
26,6616.8339854299475,46.99153664933419,256.810340263304,5.0,520.0,-34062.10743203073
26,6615.974471641701,4.4617103797122635,234.95768324667097,5.0,520.0,-34347.14974878406
26,6655.073017530313,0.0,22.30855189856132,5.0,520.0,-34844.8411968855
26,6690.500172544019,0.0,0.0,5.0,520.0,-35364.8411968855
26,6716.450718812497,0.0,0.0,5.0,520.0,-35884.8411968855
26,6745.2751466370555,12.887730495627116,0.0,5.0,520.0,-36404.8411968855
26,6763.273625610014,20.0,64.43865247813558,5.0,520.0,-36860.40254440736
26,6772.661713866347,20.0,100.0,5.0,520.0,-37280.40254440736
26,6788.60621515112,20.0,100.0,5.0,520.0,-37700.40254440736
26,6806.2047077251,20.0,100.0,5.0,520.0,-38120.40254440736
26,6821.230158982958,8.85442334641487,100.0,5.0,520.0,-38540.40254440736
26,6840.052490588733,20.0,44.27211673207435,5.0,520.0,-39016.130427675285
26,6850.252105498263,20.0,100.0,5.0,520.0,-39436.130427675285
26,6865.016165380971,40.0,100.0,5.0,520.0,-39856.130427675285
26,6853.518705766722,34.55704682621629,200.0,5.0,520.0,-40176.130427675285
26,6839.767521081962,0.0,172.78523413108144,5.0,520.0,-40523.345193544206
26,6861.935777082171,0.0,0.0,5.0,520.0,-41043.345193544206
26,6883.090688383167,0.0,0.0,5.0,520.0,-41563.345193544206
26,6887.7587286128455,0.0,0.0,5.0,520.0,-42083.345193544206
26,6872.565025327992,0.0,0.0,5.0,520.0,-42603.345193544206
26,6864.2268232686165,20.0,0.0,5.0,520.0,-43123.345193544206
26,6851.136644388816,20.0,100.0,5.0,520.0,-43543.345193544206
26,6846.357424397607,20.0,100.0,5.0,520.0,-43963.345193544206
26,6847.765524349739,40.0,100.0,5.0,520.0,-44383.345193544206
26,6831.490795494944,20.0,200.0,5.0,520.0,-44703.345193544206
26,6843.785612290304,20.0,100.0,5.0,520.0,-45123.345193544206
26,6858.910576299317,22.301654429491112,100.0,5.0,520.0,-45543.345193544206
26,6872.422112740207,60.0,111.50827214745556,5.0,520.0,-45951.83692139675
26,6854.530763655599,60.0,300.0,5.0,520.0,-46171.83692139675
26,6832.0655031451915,60.0,300.0,5.0,520.0,-46391.83692139675
26,6788.235661510402,46.885962350902574,300.0,5.0,520.0,-46611.83692139675
26,6774.571869538349,60.0,234.42981175451285,5.0,520.0,-46897.40710964224
26,6747.9067418215645,38.544735166340956,300.0,5.0,520.0,-47117.40710964224
26,6744.7755577123435,20.0,192.72367583170478,5.0,520.0,-47444.68343381054
26,6763.534531829649,20.0,100.0,5.0,520.0,-47864.68343381054
26,6777.50081978808,13.911493278359277,100.0,5.0,520.0,-48284.68343381054
26,6797.321258987945,20.0,69.55746639179638,5.0,520.0,-48735.125967418746
26,6806.643608520398,9.918085721346372,100.0,5.0,520.0,-49155.125967418746
26,6821.203296738678,13.612064291524703,49.59042860673186,5.0,520.0,-49625.535538812015
26,6840.537629570564,40.0,68.06032145762352,5.0,520.0,-50077.47521735439
26,6836.725019807904,32.83301328520601,200.0,5.0,520.0,-50397.47521735439
26,6839.182324946517,40.0,164.16506642603002,5.0,520.0,-50753.31015092836
26,6836.34803706233,40.0,200.0,5.0,520.0,-51073.31015092836
26,6838.292950149657,60.0,200.0,5.0,520.0,-51393.31015092836
26,6823.175129067328,60.0,300.0,5.0,520.0,-51613.31015092836
26,6794.884537499224,60.0,300.0,5.0,520.0,-51833.31015092836
26,6760.098644871239,60.0,300.0,5.0,520.0,-52053.31015092836
26,6733.735397799725,100.0,300.0,5.0,520.0,-52273.31015092836
26,6659.619010227692,99.6380208063348,500.0,5.0,520.0,-52293.31015092836
26,6578.270282873002,86.82967481520859,498.19010403167397,5.0,520.0,-52315.120046896685
26,6498.940559911857,52.466950501404085,434.1483740760429,5.0,520.0,-52400.97167282064
26,6467.593271893542,39.64046725151101,262.3347525070205,5.0,520.0,-52658.63692031362
26,6455.506788139885,20.0,198.20233625755506,5.0,520.0,-52980.43458405606
26,6461.167260734372,20.0,100.0,5.0,520.0,-53400.43458405606
26,6469.43501254094,20.0,100.0,5.0,520.0,-53820.43458405606
26,6477.886772119322,20.0,100.0,5.0,520.0,-54240.43458405606
26,6487.07655152963,40.0,100.0,5.0,520.0,-54660.43458405606
26,6473.824696443916,40.0,200.0,5.0,520.0,-54980.43458405606
26,6469.467460285398,22.702068298843407,200.0,5.0,520.0,-55300.43458405606
26,6486.258285279413,40.0,113.51034149421703,5.0,520.0,-55706.92424256184
26,6478.6191215334675,60.0,200.0,5.0,520.0,-56026.92424256184
26,6463.825535491129,47.33965707221179,300.0,5.0,520.0,-56246.92424256184
26,6462.743379813527,57.79052508501351,236.69828536105896,5.0,520.0,-56530.22595720078
26,6445.167300984321,20.0,288.95262542506754,5.0,520.0,-56761.273331775716
26,6465.433648054746,20.0,100.0,5.0,520.0,-57181.273331775716
26,6482.270640410326,20.0,100.0,5.0,520.0,-57601.273331775716
26,6497.870230597155,20.0,100.0,5.0,520.0,-58021.273331775716
26,6480.873836607753,27.807965821440284,100.0,5.0,520.0,-58441.273331775716
26,6469.299709739682,40.0,139.0398291072014,5.0,520.0,-58822.23350266852
